service_id,date,exception_type
24,20170522,1
24,20170523,1
24,20170524,1
24,20170525,1
24,20170526,1
24,20170530,1
24,20170531,1
24,20170601,1
24,20170602,1
24,20170605,1
24,20170606,1
24,20170607,1
24,20170608,1
24,20170609,1
24,20170612,1
24,20170613,1
24,20170614,1
24,20170615,1
24,20170616,1
24,20170619,1
24,20170620,1
24,20170621,1
24,20170622,1
24,20170623,1
24,20170626,1
24,20170627,1
24,20170628,1
24,20170629,1
24,20170630,1
